'(pronoun/name) was buried', Angle: 180.000000, Intensity: 0.500000
'nuclear fallout', Angle: 180.327408, Intensity: 0.700000
'out of date', Angle: NaN, Intensity: 0.000000
'out of luck', Angle: 135.643738, Intensity: 0.500000
'poor health', Angle: 158.270203, Intensity: 0.590000
'population overflow', Angle: 180.000000, Intensity: 0.500000
'river overflows', Angle: 190.856415, Intensity: 0.590000
'rough (me/her/him/us/them) up', Angle: 252.143768, Intensity: 0.630000
'rough behavior', Angle: 188.246323, Intensity: 0.560000
'rough justice', Angle: 188.691315, Intensity: 0.640000
'rough lesson', Angle: 188.376007, Intensity: 0.660000
'rough up', Angle: 249.756317, Intensity: 0.600000
'ruin [v]', Angle: 247.846649, Intensity: 0.600000
'simpleton', Angle: 104.601273, Intensity: 0.490000
'slip into madness', Angle: 159.573975, Intensity: 0.620000
'smear campaign', Angle: 191.592178, Intensity: 0.640000
'stumbling block', Angle: 114.934296, Intensity: 0.500000
'tear [n]', Angle: NaN, Intensity: 0.000000
'tear [v]', Angle: 213.358246, Intensity: 0.570000
'the many cares of', Angle: 181.374832, Intensity: 0.500000
'thrash', Angle: 103.371330, Intensity: 0.500000
'too costly', Angle: 122.053490, Intensity: 0.500000
'too expensive', Angle: 121.667213, Intensity: 0.500000
'total farce', Angle: 99.796211, Intensity: 0.560000
'tough break', Angle: 135.000000, Intensity: 0.500000
'trap [n]', Angle: 114.934296, Intensity: 0.500000
'trap [v]', Angle: 195.945389, Intensity: 0.500000
'trash [n]', Angle: 104.813461, Intensity: 0.500000
'trash [v]', Angle: 203.078217, Intensity: 0.500000
'trial and conviction', Angle: 189.706650, Intensity: 0.620000
'uninteresting', Angle: 123.562744, Intensity: 0.500000
'unusable', Angle: 105.694923, Intensity: 0.500000
'utter fabrication', Angle: 157.750977, Intensity: 0.570000
'utter farce', Angle: 100.370735, Intensity: 0.620000
'vice [n]', Angle: 180.000000, Intensity: 0.500000
'went to its grave', Angle: 179.534180, Intensity: 0.490000
'wildfire', Angle: 230.092117, Intensity: 0.570000
'writer's block', Angle: 147.867096, Intensity: 0.570000
'wrong', Angle: 179.587799, Intensity: 0.560000
'wrought havoc', Angle: 228.918243, Intensity: 0.620000
'wrought with errors', Angle: 157.932098, Intensity: 0.640000
'wrought with evil', Angle: 157.796509, Intensity: 0.640000
'wrought with fraud', Angle: 180.353668, Intensity: 0.650000
'wrought with sadness', Angle: 165.027130, Intensity: 0.710000
'you are fired', Angle: 180.309708, Intensity: 0.740000
'you are nuts', Angle: 103.309181, Intensity: 0.380000
