'abide', Angle: 73.559624, Intensity: 0.250000
'aggregate', Angle: 63.434952, Intensity: 0.510000
'agile', Angle: 349.408478, Intensity: 0.500000
'agility', Angle: 347.520935, Intensity: 0.500000
'agreeable', Angle: 11.935603, Intensity: 0.500000
'agreement', Angle: 13.600542, Intensity: 0.260000
'aid', Angle: 321.483063, Intensity: 0.500000
'alertness', Angle: 322.680443, Intensity: 0.250000
'alight', Angle: 60.140984, Intensity: 0.250000
'alive', Angle: 359.545288, Intensity: 0.500000
'allegiance', Angle: 322.943481, Intensity: 0.250000
'alleviate', Angle: 15.819195, Intensity: 0.500000
'alliance', Angle: 18.725788, Intensity: 0.250000
'allied', Angle: 19.832129, Intensity: 0.260000
'allies', Angle: 16.699245, Intensity: 0.250000
'allow', Angle: 269.867810, Intensity: 0.250000
'allowable', Angle: 80.000000, Intensity: 0.250000
'allowance', Angle: 43.490832, Intensity: 0.240000
'allure', Angle: 298.790985, Intensity: 0.510000
'ally', Angle: 22.135490, Intensity: 0.250000
'almighty', Angle: 355.848724, Intensity: 0.500000
'altruistic', Angle: 5.984952, Intensity: 0.500000
'amazement', Angle: 352.130920, Intensity: 0.650000
'amazingly', Angle: 353.263977, Intensity: 0.670000
'ameliorate', Angle: 355.881805, Intensity: 0.500000
'amenable', Angle: 81.869896, Intensity: 0.250000
'amenity', Angle: 76.184975, Intensity: 0.250000
'amiability', Angle: 75.068581, Intensity: 0.250000
'amiable', Angle: 72.428741, Intensity: 0.500000
'amicable', Angle: 72.428741, Intensity: 0.250000
'amour', Angle: 309.160522, Intensity: 0.500000
'ample', Angle: 90.895172, Intensity: 0.260000
'amplify', Angle: 90.000000, Intensity: 0.650000
'amply', Angle: 89.104828, Intensity: 0.260000
'amuse', Angle: 33.178513, Intensity: 0.500000
'amusement', Angle: 31.195097, Intensity: 0.510000
'angel', Angle: 359.541626, Intensity: 0.500000
'angelic', Angle: 359.090637, Intensity: 0.500000
'anoint', Angle: 356.338074, Intensity: 0.500000
'apocalypse', Angle: 269.541626, Intensity: 0.500000
'appease', Angle: 40.399906, Intensity: 0.490000
'append', Angle: 63.434952, Intensity: 0.250000
'applaud', Angle: 346.075226, Intensity: 0.500000
'applause', Angle: 341.125458, Intensity: 0.490000
'appoint', Angle: 309.000612, Intensity: 0.250000
'appreciable', Angle: 13.924773, Intensity: 0.500000
'appreciate', Angle: 14.719659, Intensity: 0.490000
'appreciation', Angle: 17.709724, Intensity: 0.500000
'appreciative', Angle: 17.409304, Intensity: 0.490000
'appropriate', Angle: 77.660912, Intensity: 0.260000
'approval', Angle: 333.034302, Intensity: 0.260000
'approve', Angle: 332.650116, Intensity: 0.260000
'apt', Angle: 342.428741, Intensity: 0.250000
'aptitude', Angle: 331.389526, Intensity: 0.500000
'arbitrate', Angle: 284.036255, Intensity: 0.250000
'arbitration', Angle: 282.925995, Intensity: 0.250000
'ardent', Angle: 290.179443, Intensity: 0.500000
'arisen', Angle: 330.368469, Intensity: 0.500000
'aristocracy', Angle: 270.954834, Intensity: 0.240000
