'(pronoun/name) was buried', Angle: 168.023865, Intensity: 0.400000
'limp (n)', Angle: 201.161255, Intensity: 0.400000
'limp (v)', Angle: 200.224854, Intensity: 0.400000
'liquidation of the company', Angle: 194.955841, Intensity: 0.600000
'lust for power', Angle: 199.057709, Intensity: 0.700000
'lust of money', Angle: 198.434952, Intensity: 0.700000
'mental block', Angle: 167.788483, Intensity: 0.550000
'miss (pronoun)', Angle: 159.264771, Intensity: 0.600000
'miss a buss', Angle: 210.668930, Intensity: 0.400000
'miss a chance', Angle: 200.871597, Intensity: 0.600000
'miss a day of', Angle: 138.270493, Intensity: 0.400000
'miss a target', Angle: 203.198593, Intensity: 0.400000
'miss a train', Angle: 210.379120, Intensity: 0.400000
'miss out on', Angle: 160.243988, Intensity: 0.600000
'miss the deadline', Angle: 200.376434, Intensity: 0.600000
'miss the opportunity', Angle: 201.447739, Intensity: 0.600000
'missing', Angle: 161.686188, Intensity: 0.600000
'missing in action', Angle: 160.523422, Intensity: 0.700000
'modest food ', Angle: 103.671303, Intensity: 0.300000
'modest meal', Angle: 102.938057, Intensity: 0.300000
'modest quality', Angle: 110.820892, Intensity: 0.300000
'no such luck', Angle: 139.028259, Intensity: 0.400000
'nuclear fallout', Angle: 174.251343, Intensity: 0.600000
'out of date', Angle: 113.629379, Intensity: 0.350000
'out of luck', Angle: 157.912827, Intensity: 0.600000
'poor health', Angle: 170.106079, Intensity: 0.700000
'population overflow', Angle: 193.029190, Intensity: 0.500000
'river overflows', Angle: 141.159164, Intensity: 0.400000
'rough (me/her/him/us/them) up', Angle: 234.309937, Intensity: 0.700000
'rough behavior', Angle: 207.420151, Intensity: 0.600000
'rough justice', Angle: 191.956589, Intensity: 0.700000
'rough lesson', Angle: 199.397812, Intensity: 0.600000
'rough up', Angle: 245.772247, Intensity: 0.700000
'ruin [v]', Angle: 223.655273, Intensity: 0.600000
'simpleton', Angle: 158.769379, Intensity: 0.600000
'slip into madness', Angle: 223.152390, Intensity: 0.700000
'smear campaign', Angle: 202.594589, Intensity: 0.700000
'stumbling block', Angle: 195.255127, Intensity: 0.550000
'tear [n]', Angle: NaN, Intensity: 0.000000
'tear [v]', Angle: NaN, Intensity: 0.000000
'the many cares of', Angle: NaN, Intensity: 0.000000
'thrash', Angle: 223.378860, Intensity: 0.600000
'too costly', Angle: 157.733414, Intensity: 0.550000
'too expensive', Angle: 158.120850, Intensity: 0.550000
'total farce', Angle: 173.884491, Intensity: 0.450000
'tough break', Angle: 167.637512, Intensity: 0.600000
'trap [n]', Angle: 174.015045, Intensity: 0.500000
'trap [v]', Angle: 223.069412, Intensity: 0.500000
'trash [n]', Angle: 138.596710, Intensity: 0.500000
'trash [v]', Angle: 223.363419, Intensity: 0.500000
'trial and conviction', Angle: 247.702850, Intensity: 0.600000
'uninteresting', Angle: 129.382416, Intensity: 0.350000
'unusable', Angle: 99.211029, Intensity: 0.300000
'utter fabrication', Angle: 141.126938, Intensity: 0.500000
'utter farce', Angle: 174.852112, Intensity: 0.450000
'vice [n]', Angle: 168.012482, Intensity: 0.600000
'went to its grave', Angle: NaN, Intensity: 0.000000
'wildfire', Angle: 251.200104, Intensity: 0.600000
'writer's block', Angle: 209.604446, Intensity: 0.400000
'wrong', Angle: 167.969406, Intensity: 0.500000
'wrought havoc', Angle: 245.637543, Intensity: 0.700000
'wrought with errors', Angle: 138.596710, Intensity: 0.500000
'wrought with evil', Angle: 180.286484, Intensity: 0.800000
'wrought with fraud', Angle: 186.508957, Intensity: 0.600000
'wrought with sadness', Angle: 162.918243, Intensity: 0.800000
'you are fired', Angle: 201.012085, Intensity: 0.650000
'you are nuts', Angle: NaN, Intensity: 0.000000
