'fabulous', Angle: 360.000000, Intensity: 0.700000
'greet', Angle: 303.951111, Intensity: 0.490000
'groom', Angle: NaN, Intensity: 0.000000
'guarantee', Angle: 270.000000, Intensity: 0.350000
'guardian', Angle: 280.684906, Intensity: 0.430000
'guide', Angle: 279.977722, Intensity: 0.440000
'gusto', Angle: 321.196411, Intensity: 0.500000
'hallowed', Angle: 306.170258, Intensity: 0.590000
'handsome', Angle: 15.135836, Intensity: 0.510000
'handy', Angle: 327.745300, Intensity: 0.490000
'happiness', Angle: 353.534058, Intensity: 0.600000
'happy', Angle: 352.549744, Intensity: 0.520000
'hardy', Angle: 327.600159, Intensity: 0.490000
'harmless', Angle: 32.541752, Intensity: 0.500000
'harmonious', Angle: 18.863588, Intensity: 0.510000
'harmonize', Angle: 328.392487, Intensity: 0.490000
'harmony', Angle: 19.592281, Intensity: 0.500000
'harness', Angle: NaN, Intensity: 0.000000
'haven', Angle: 360.000000, Intensity: 0.500000
'heal', Angle: 322.660461, Intensity: 0.490000
