'feign', Angle: 194.601273, Intensity: 0.490000
'haughty', Angle: 190.222168, Intensity: 0.500000
'haunt', Angle: 194.719666, Intensity: 0.490000
'havoc', Angle: 227.152954, Intensity: 0.750000
'hazard', Angle: 227.290619, Intensity: 0.500000
'hazardous', Angle: 228.596710, Intensity: 0.500000
'haziness', Angle: 192.578934, Intensity: 0.500000
'hazy', Angle: 192.680389, Intensity: 0.490000
'headache', Angle: 226.169144, Intensity: 0.550000
'heartless', Angle: 140.839493, Intensity: 0.500000
'hectic', Angle: 250.096252, Intensity: 0.490000
'hedge', Angle: NaN, Intensity: 0.000000
'hedonistic', Angle: NaN, Intensity: 0.000000
'heedless', Angle: 158.962494, Intensity: 0.500000
'heinous', Angle: 180.327408, Intensity: 0.700000
'hell', Angle: 236.218842, Intensity: 0.700000
'helpless', Angle: 159.390305, Intensity: 0.500000
'helplessness', Angle: 158.962494, Intensity: 0.500000
'hideous', Angle: 180.320084, Intensity: 0.720000
'hinder', Angle: 215.858368, Intensity: 0.500000
'hindrance', Angle: 215.753891, Intensity: 0.490000
'hit', Angle: 256.192474, Intensity: 0.490000
'hoard', Angle: 188.852005, Intensity: 0.490000
'hobble', Angle: 188.852005, Intensity: 0.490000
'hollow', Angle: 179.537949, Intensity: 0.500000
'homely', Angle: NaN, Intensity: 0.000000
'hopeless', Angle: 156.501434, Intensity: 0.500000
'horrible', Angle: 186.732925, Intensity: 0.580000
'horrid', Angle: 186.381561, Intensity: 0.610000
'horrify', Angle: 185.906143, Intensity: 0.580000
'horror', Angle: 235.238190, Intensity: 0.650000
