'absolutely right', Angle: 359.693604, Intensity: 0.750000
'strike the right note', Angle: 341.565063, Intensity: 0.510000
'take a break', Angle: 360.000000, Intensity: 0.510000
'the majesty and glory', Angle: 18.557638, Intensity: 0.590000
'the right side', Angle: 359.545288, Intensity: 0.500000
'too funny for words', Angle: 360.000000, Intensity: 0.600000
'was intrigued', Angle: 275.492310, Intensity: 0.420000
'work great', Angle: NaN, Intensity: 0.000000
'work like a demon', Angle: 284.331085, Intensity: 0.570000
'work wonders', Angle: 302.549988, Intensity: 0.670000
'fraught with happiness', Angle: 348.569702, Intensity: 0.750000
'fraught with joy', Angle: 348.331238, Intensity: 0.750000
'you are right', Angle: 0.465809, Intensity: 0.490000
